# GameN, gameLength, gameElo, minBase, dinBase
2519.0,185.0,1602.3,3.6,17.7
2520.0,227.0,1609.7,4.2,17.2
2521.0,182.0,1602.5,4.3,17.3
2522.0,193.0,1595.4,4.2,17.3
2523.0,256.0,1600.9,4.5,17.0
2524.0,183.0,1591.2,4.4,16.9
2525.0,167.0,1585.0,3.7,17.6
2526.0,186.0,1592.0,5.1,16.3
2527.0,203.0,1597.9,4.6,16.9
2528.0,117.0,1604.7,3.3,18.0
2529.0,300.0,1597.9,4.8,16.7
2530.0,92.0,1591.1,3.6,17.9
2531.0,300.0,1598.7,4.0,17.6
2532.0,121.0,1591.6,3.6,17.7
2533.0,168.0,1585.4,3.6,17.7
2534.0,300.0,1591.4,4.5,17.1
2535.0,177.0,1597.2,4.6,16.9
2536.0,155.0,1591.6,3.7,17.6
2537.0,287.0,1599.1,4.0,17.4
2538.0,300.0,1606.4,4.1,17.3
2539.0,158.0,1613.0,4.8,16.8
2540.0,107.0,1621.0,3.1,18.1
2541.0,300.0,1627.5,4.3,17.3
2542.0,300.0,1634.6,4.5,16.9
2543.0,212.0,1626.6,3.8,17.6
2544.0,274.0,1619.1,4.1,17.5
2545.0,214.0,1627.1,4.7,16.8
2546.0,185.0,1620.6,5.6,15.7
2547.0,267.0,1627.4,4.7,16.8
2548.0,300.0,1634.2,5.7,15.8
2549.0,300.0,1626.9,5.4,16.1
2550.0,231.0,1634.6,5.6,16.1
2551.0,149.0,1626.9,4.8,16.6
2552.0,89.0,1621.1,3.2,18.0
2553.0,178.0,1626.8,5.6,15.8
2554.0,179.0,1619.3,4.3,17.1
2555.0,103.0,1626.0,3.8,17.7
2556.0,300.0,1632.4,4.7,16.5
2557.0,135.0,1625.0,4.4,17.0
2558.0,167.0,1625.7,4.7,16.8
2559.0,300.0,1616.5,4.5,16.9
2560.0,186.0,1607.9,4.2,17.3
2561.0,128.0,1608.1,3.9,17.4
2562.0,188.0,1615.4,4.7,16.6
2563.0,300.0,1609.2,5.3,16.3
2564.0,128.0,1616.6,3.5,17.7
2565.0,172.0,1609.0,3.5,17.9
2566.0,188.0,1616.0,3.2,18.0
2567.0,229.0,1622.4,3.9,17.5
2568.0,128.0,1630.5,4.9,16.4
2569.0,300.0,1622.8,5.1,16.6
2570.0,165.0,1629.5,3.8,17.5
2571.0,151.0,1636.8,4.9,16.5
2572.0,300.0,1643.1,5.5,16.0
2573.0,124.0,1634.1,4.3,17.1
2574.0,118.0,1626.0,4.3,17.1
2575.0,300.0,1632.7,4.4,17.0
2576.0,191.0,1624.6,5.0,16.5
2577.0,290.0,1630.1,3.7,17.8
2578.0,149.0,1622.0,4.7,16.7
2579.0,300.0,1615.2,4.3,17.1
2580.0,97.0,1608.1,3.2,18.3
2581.0,221.0,1608.3,4.7,16.7
2582.0,141.0,1600.3,3.4,17.9
2583.0,300.0,1606.8,4.9,16.5
2584.0,269.0,1613.4,3.9,17.5
2585.0,96.0,1606.1,4.1,17.2
