# GameN, gameLength, gameElo, minBase, dinBase
2256.0,149.0,2112.2,3.8,17.4
2257.0,146.0,2105.0,4.2,17.3
2258.0,300.0,2106.6,5.3,16.1
2259.0,300.0,2110.3,4.8,16.6
2260.0,300.0,2110.0,5.5,16.0
2261.0,149.0,2105.1,4.6,16.8
2262.0,300.0,2110.0,4.9,16.8
2263.0,300.0,2115.5,4.1,17.3
2264.0,150.0,2107.9,4.4,17.1
2265.0,175.0,2099.2,4.3,17.0
2266.0,156.0,2106.6,4.5,17.0
2267.0,192.0,2107.7,6.0,15.7
2268.0,229.0,2111.5,4.9,16.7
2269.0,140.0,2113.8,4.0,17.5
2270.0,142.0,2103.2,4.0,17.4
2271.0,153.0,2109.3,4.0,17.4
2272.0,194.0,2099.7,4.0,17.4
2273.0,169.0,2092.4,5.4,16.4
2274.0,137.0,2093.6,4.0,17.4
2275.0,195.0,2101.2,4.6,16.8
2276.0,169.0,2093.9,4.6,17.0
2277.0,300.0,2096.3,5.2,16.4
2278.0,172.0,2097.8,3.7,17.8
2279.0,100.0,2099.3,3.8,17.8
2280.0,300.0,2091.7,5.7,16.1
2281.0,300.0,2083.9,6.0,15.8
2282.0,148.0,2089.5,4.9,16.6
2283.0,300.0,2092.0,5.2,16.3
2284.0,300.0,2081.7,5.5,16.1
2285.0,172.0,2089.7,4.5,16.8
2286.0,176.0,2078.7,5.3,16.1
2287.0,190.0,2083.5,5.0,16.3
2288.0,185.0,2088.7,6.1,15.5
2289.0,187.0,2090.5,5.1,16.5
2290.0,173.0,2098.4,3.9,17.5
2291.0,243.0,2090.6,4.5,16.9
2292.0,120.0,2093.3,5.2,16.4
2293.0,168.0,2086.3,4.7,16.8
2294.0,171.0,2092.8,4.3,17.2
2295.0,157.0,2099.3,4.3,17.2
2296.0,300.0,2104.0,5.6,16.1
2297.0,300.0,2109.1,5.9,15.9
2298.0,300.0,2097.5,4.7,16.8
2299.0,237.0,2105.0,3.9,17.5
2300.0,216.0,2111.9,4.5,16.9
2301.0,204.0,2116.3,4.5,16.9
2302.0,89.0,2118.6,3.4,17.9
2303.0,199.0,2124.0,5.8,15.9
2304.0,254.0,2111.1,5.0,16.6
2305.0,300.0,2117.6,6.0,15.7
2306.0,121.0,2108.5,2.8,18.5
2307.0,197.0,2104.8,4.3,17.1
2308.0,193.0,2106.2,3.9,17.5
2309.0,153.0,2111.3,4.1,17.4
2310.0,300.0,2116.1,5.1,16.3
2311.0,225.0,2123.4,5.2,16.3
2312.0,300.0,2114.4,5.3,16.1
2313.0,114.0,2115.3,3.1,18.1
2314.0,144.0,2103.0,5.1,16.3
2315.0,179.0,2095.6,4.1,17.2
2316.0,248.0,2100.2,5.2,16.4
2317.0,298.0,2100.8,5.3,16.2
2318.0,300.0,2104.4,5.7,15.9
2319.0,300.0,2096.1,4.7,16.7
2320.0,149.0,2096.4,3.9,17.4
2321.0,132.0,2089.4,4.6,16.8
2322.0,142.0,2081.9,5.2,16.3
2323.0,172.0,2084.6,3.6,17.7
2324.0,116.0,2087.4,4.8,17.0
2325.0,227.0,2080.8,5.5,16.1
2326.0,300.0,2082.3,5.5,16.2
2327.0,194.0,2085.1,5.3,16.2
2328.0,300.0,2084.2,5.0,16.7
2329.0,159.0,2090.8,3.7,17.6
2330.0,197.0,2093.4,4.4,16.8
2331.0,195.0,2097.7,4.8,16.7
2332.0,300.0,2101.9,5.0,16.4
2333.0,300.0,2104.2,5.5,16.1
2334.0,203.0,2107.3,5.4,16.3
2335.0,272.0,2114.2,4.5,17.0
2336.0,183.0,2121.3,4.4,17.1
2337.0,195.0,2110.3,4.0,17.3
2338.0,207.0,2116.1,5.0,16.6
2339.0,300.0,2121.9,5.0,16.5
2340.0,213.0,2125.0,4.8,16.5
2341.0,279.0,2131.6,4.4,17.0
2342.0,262.0,2133.4,4.5,16.9
2343.0,203.0,2137.2,5.2,16.4
2344.0,207.0,2142.5,4.7,16.9
2345.0,186.0,2146.5,4.9,16.8
2346.0,197.0,2147.0,5.2,16.4
2347.0,147.0,2152.7,5.5,16.0
2348.0,300.0,2155.7,5.0,16.7
2349.0,200.0,2158.7,4.3,17.0
2350.0,155.0,2164.7,4.3,17.2
2351.0,192.0,2168.2,3.5,17.9
2352.0,224.0,2157.4,4.8,16.6
2353.0,257.0,2162.3,4.5,17.1
2354.0,256.0,2167.7,5.0,16.7
2355.0,183.0,2159.4,4.1,17.2
2356.0,300.0,2162.8,4.2,17.2
2357.0,131.0,2151.7,4.3,17.2
2358.0,164.0,2154.7,6.5,15.2
2359.0,300.0,2155.9,5.6,16.0
2360.0,125.0,2159.0,4.9,16.7
2361.0,300.0,2162.2,6.8,14.9
2362.0,74.0,2163.7,4.2,17.0
2363.0,261.0,2169.0,5.6,16.1
2364.0,129.0,2160.8,5.4,16.3
2365.0,149.0,2163.1,4.5,17.0
2366.0,165.0,2165.8,4.1,17.4
2367.0,171.0,2155.8,4.4,17.1
2368.0,192.0,2158.5,4.4,17.1
2369.0,187.0,2159.8,4.7,16.9
2370.0,200.0,2162.9,4.9,16.7
2371.0,300.0,2164.7,5.0,16.6
2372.0,185.0,2165.8,4.6,16.8
2373.0,145.0,2169.1,4.3,17.1
2374.0,209.0,2175.6,4.7,16.7
2375.0,300.0,2176.4,5.0,16.6
2376.0,300.0,2181.6,4.6,16.8
2377.0,300.0,2170.6,5.3,16.2
2378.0,229.0,2161.7,5.1,16.5
2379.0,210.0,2166.5,3.5,17.8
2380.0,300.0,2169.1,3.9,17.5
2381.0,300.0,2159.9,4.1,17.3
2382.0,173.0,2151.5,4.1,17.3
2383.0,232.0,2150.0,4.2,17.2
2384.0,300.0,2153.5,4.5,17.0
2385.0,235.0,2156.4,4.6,16.9
2386.0,300.0,2159.0,4.8,16.7
2387.0,258.0,2148.1,5.5,16.1
2388.0,187.0,2135.6,5.3,16.4
2389.0,300.0,2138.1,4.4,17.0
2390.0,195.0,2143.5,3.9,17.5
2391.0,110.0,2139.7,5.4,16.2
2392.0,300.0,2131.3,6.1,15.4
2393.0,300.0,2136.7,4.4,17.0
2394.0,175.0,2128.9,4.1,17.4
2395.0,300.0,2128.2,5.9,15.6
2396.0,151.0,2119.3,3.4,17.9
2397.0,300.0,2116.4,5.3,16.4
2398.0,263.0,2103.0,4.7,16.8
