# GameN, gameLength, gameElo
743.0,144.0,927.2
744.0,82.0,928.0
745.0,59.0,919.8
746.0,196.0,911.0
747.0,300.0,922.2
748.0,69.0,932.1
749.0,300.0,923.4
750.0,227.0,915.0
751.0,203.0,915.6
752.0,300.0,925.6
753.0,128.0,915.9
754.0,300.0,906.7
755.0,300.0,920.8
756.0,85.0,931.3
757.0,300.0,933.6
758.0,300.0,942.9
759.0,300.0,950.8
760.0,83.0,942.3
761.0,65.0,935.5
762.0,300.0,945.4
763.0,75.0,953.2
764.0,300.0,943.4
765.0,300.0,953.7
766.0,300.0,962.7
767.0,153.0,962.6
768.0,300.0,956.5
769.0,181.0,965.2
770.0,300.0,954.7
771.0,111.0,963.4
772.0,218.0,953.8
773.0,138.0,962.5
774.0,157.0,953.0
775.0,300.0,945.4
776.0,300.0,954.7
777.0,300.0,944.7
778.0,159.0,937.1
779.0,159.0,929.2
780.0,209.0,941.5
781.0,106.0,931.4
782.0,300.0,941.0
783.0,300.0,931.9
784.0,300.0,943.8
785.0,288.0,938.2
786.0,124.0,948.5
787.0,76.0,941.6
788.0,300.0,951.9
789.0,300.0,944.3
790.0,79.0,934.1
791.0,300.0,945.6
792.0,300.0,954.1
793.0,300.0,946.1
794.0,211.0,955.4
795.0,300.0,945.0
796.0,257.0,937.2
797.0,241.0,928.3
798.0,276.0,940.1
799.0,257.0,931.1
800.0,300.0,940.9
801.0,300.0,932.0
802.0,69.0,942.3
803.0,300.0,942.6
804.0,300.0,932.8
805.0,300.0,943.2
806.0,300.0,935.6
807.0,81.0,945.1
808.0,126.0,954.0
809.0,236.0,944.4
810.0,300.0,954.0
811.0,181.0,966.0
812.0,300.0,956.1
813.0,300.0,966.0
814.0,80.0,955.8
815.0,57.0,947.9
816.0,300.0,957.2
817.0,82.0,965.4
818.0,300.0,965.4
819.0,300.0,954.1
820.0,300.0,946.0
821.0,300.0,944.0
822.0,262.0,935.0
823.0,300.0,934.1
824.0,243.0,927.0
825.0,300.0,929.7
826.0,227.0,921.2
827.0,300.0,922.0
828.0,300.0,933.7
829.0,263.0,925.3
830.0,300.0,917.2
831.0,300.0,910.2
832.0,300.0,902.1
833.0,300.0,904.0
834.0,91.0,895.7
835.0,82.0,906.5
836.0,300.0,897.6
837.0,69.0,891.6
838.0,300.0,887.2
839.0,300.0,879.0
840.0,300.0,890.5
841.0,44.0,883.8
842.0,300.0,896.2
843.0,300.0,904.2
844.0,118.0,905.2
845.0,160.0,899.4
846.0,79.0,909.6
847.0,300.0,920.2
848.0,300.0,912.0
849.0,300.0,921.4
850.0,300.0,921.0
851.0,300.0,912.5
